id,year,statename,pcname,candidate,sex,party,total,electors,polled,rank,overpolled,win,alliance
1553,2001,Tamil Nadu,TIRUPPARANKUNDRAM,SEENIVEL S.M.,M,ADMK,83167,,169969,1,48.93%,1,ADMK
1554,2001,Tamil Nadu,TIRUPPARANKUNDRAM,RAMACHANDRAN C,M,DMK,74040,,169969,2,43.56%,0,DMK
1555,2001,Tamil Nadu,TIRUPPARANKUNDRAM,CHINNACHELLAM M.D.,M,MDMK,4850,,169969,3,2.85%,0,OTHERS
1556,2001,Tamil Nadu,TIRUPPARANKUNDRAM,SOODAM MANI V.S. ,M,IND,3990,,169969,4,2.35%,0,OTHERS
1557,2001,Tamil Nadu,TIRUPPARANKUNDRAM,CHANDRASEKARAN .R.,M,IND,1550,,169969,5,0.91%,0,OTHERS
1558,2001,Tamil Nadu,TIRUPPARANKUNDRAM,SASIKUMAR A,M,JP,1226,,169969,6,0.72%,0,OTHERS
1559,2001,Tamil Nadu,TIRUPPARANKUNDRAM,PALANIVEL M,M,IND,856,,169969,7,0.50%,0,OTHERS
1560,2001,Tamil Nadu,TIRUPPARANKUNDRAM,SAKTHIVEL K,M,IND,290,,169969,8,0.17%,0,OTHERS
1561,2001,Tamil Nadu,TIRUPPATTUR I,RAJA. T.K.,M,PMK,59840,,129674,1,46.15%,1,ADMK
1562,2001,Tamil Nadu,TIRUPPATTUR I,ARASU. S.,M,DMK,54079,,129674,2,41.70%,0,DMK
1563,2001,Tamil Nadu,TIRUPPATTUR I,ANNAMALAI .K,M,MDMK,8474,,129674,3,6.53%,0,OTHERS
1564,2001,Tamil Nadu,TIRUPPATTUR I,NEELA.M,F,IND,1730,,129674,4,1.33%,0,OTHERS
1565,2001,Tamil Nadu,TIRUPPATTUR I,THIRUVENGADAM. M,M,IND,1430,,129674,5,1.10%,0,OTHERS
1566,2001,Tamil Nadu,TIRUPPATTUR I,RAMASAMY . G ,M,MNK(PLP),1259,,129674,6,0.97%,0,OTHERS
1567,2001,Tamil Nadu,TIRUPPATTUR I,CHINNASAMY. P,M,IND,1104,,129674,7,0.85%,0,OTHERS
1568,2001,Tamil Nadu,TIRUPPATTUR I,CHINNARAJ. M.,M,UCPI,839,,129674,8,0.65%,0,OTHERS
1569,2001,Tamil Nadu,TIRUPPATTUR I,SATHIASEELAN.T.C,M,IND,494,,129674,9,0.38%,0,OTHERS
1570,2001,Tamil Nadu,TIRUPPATTUR I,ETHIRAJAN. A.P.,M,IND,425,,129674,10,0.33%,0,OTHERS
1571,2001,Tamil Nadu,TIRUPPATTUR II,UMADHEVAN. KK,M,ADMK,50165,,98617,1,50.87%,1,ADMK
1572,2001,Tamil Nadu,TIRUPPATTUR II,SIVARAMAN. R.,M,DMK,41075,,98617,2,41.65%,0,DMK
1573,2001,Tamil Nadu,TIRUPPATTUR II,SEVANTHIAPPAN PULAVAR,M,MDMK,4589,,98617,3,4.65%,0,OTHERS
1574,2001,Tamil Nadu,TIRUPPATTUR II,GUNASEKARAN. P.,M,IND,1646,,98617,4,1.67%,0,OTHERS
1575,2001,Tamil Nadu,TIRUPPATTUR II,GAHAN RAAM CHATTRAPATHI. S.U.,M,NCP,1142,,98617,5,1.16%,0,OTHERS
1576,2001,Tamil Nadu,TIRUPPORUR (SC),KANITHA SAMPATH S ,F,ADMK,74716,,136747,1,54.64%,1,ADMK
1577,2001,Tamil Nadu,TIRUPPORUR (SC),NAGARAJAN C,M,DMK,49926,,136747,2,36.51%,0,DMK
1578,2001,Tamil Nadu,TIRUPPORUR (SC),SEEMAN P,M,MDMK,5082,,136747,3,3.72%,0,OTHERS
1579,2001,Tamil Nadu,TIRUPPORUR (SC),ANANDAN.V,M,IND,2711,,136747,4,1.98%,0,OTHERS
1580,2001,Tamil Nadu,TIRUPPORUR (SC),UDAYAKUMAR N,M,PB,2676,,136747,5,1.96%,0,OTHERS
1581,2001,Tamil Nadu,TIRUPPORUR (SC),ERANIAPPAN C,M,CPI(ML)(L),1636,,136747,6,1.20%,0,OTHERS
1582,2001,Tamil Nadu,TIRUPPUR,SIVASAMI. C.,M,ADMK,127224,,212372,1,59.91%,1,ADMK
1583,2001,Tamil Nadu,TIRUPPUR,LALITHAKUMARAMANGALAM. ,F,BJP,80668,,212372,2,37.98%,0,DMK
